term,home_ownership,grade,purpose,int_rate,addr_state,loan_status,application_type,loan_amnt,emp_length,annual_inc,dti,delinq_2yrs,revol_util,revol_bal,total_acc,num_tl_90g_dpd_24m,dti_joint,term_cleaned,emplen_cleaned,revolutil_cleaned,rev_avg,dti_cleaned,bad_loan
 60 months,RENT,C,debt_consolidation,13.56%,OK,Current,Individual,25500,4 years,86000,14.35,0,32.30%,7373,30,0,null, 60 ,4,32,43.76206961077844,14.35,No
 60 months,RENT,C,debt_consolidation,16.14%,NY,Current,Individual,40000,10+ years,80000,30.87,0,14.80%,2632,21,0,null, 60 ,10,14,43.76206961077844,30.87,No
 60 months,MORTGAGE,B,debt_consolidation,12.73%,CA,Current,Individual,10000,< 1 year,78400,5.99,0,42.40%,5729,20,0,null, 60 ,1,42,43.76206961077844,5.99,No
 60 months,MORTGAGE,C,debt_consolidation,16.91%,NC,Current,Individual,32000,10+ years,94000,34.64,0,72%,22848,37,0,null, 60 ,10,72,43.76206961077844,34.64,No
 60 months,RENT,B,credit_card,11.31%,KY,Current,Individual,10000,3 years,30000,31.28,0,25.70%,8080,13,0,null, 60 ,3,25,43.76206961077844,31.28,No
 36 months,MORTGAGE,B,credit_card,11.31%,TN,Current,Individual,23500,10+ years,120000,14.76,0,55%,12274,58,0,null, 36 ,10,55,43.76206961077844,14.76,No
 36 months,MORTGAGE,B,debt_consolidation,12.98%,AL,Fully Paid,Individual,7200,4 years,27000,24.67,0,57.70%,9815,9,0,null, 36 ,4,57,43.76206961077844,24.67,No
 60 months,MORTGAGE,D,home_improvement,22.35%,MN,Current,Individual,16000,2 years,70000,13.85,2,83.40%,5168,34,0,null, 60 ,2,83,43.76206961077844,13.85,No
 60 months,RENT,A,debt_consolidation,8.19%,NC,Current,Individual,40000,2 years,97000,30.62,0,40.60%,50167,31,0,null, 60 ,2,40,43.76206961077844,30.62,No
 60 months,MORTGAGE,B,debt_consolidation,11.80%,WV,Current,Individual,40000,8 years,120000,22.07,0,47.90%,33780,28,0,null, 60 ,8,47,43.76206961077844,22.07,No
 36 months,MORTGAGE,B,debt_consolidation,10.33%,NJ,Current,Individual,12000,10+ years,55000,16.04,0,41.10%,11427,40,0,null, 36 ,10,41,43.76206961077844,16.04,No
 36 months,RENT,C,home_improvement,16.91%,NJ,Fully Paid,Individual,10000,1 year,36374,11.25,0,29%,986,7,0,null, 36 ,1,29,43.76206961077844,11.25,No
 60 months,RENT,C,debt_consolidation,13.56%,VA,Current,Individual,15000,6 years,45000,16.27,0,34.40%,10197,11,0,null, 60 ,6,34,43.76206961077844,16.27,No
 36 months,RENT,C,debt_consolidation,15.02%,CA,Current,Individual,9600,1 year,80000,7.08,1,40%,9728,13,0,null, 36 ,1,40,43.76206961077844,7.08,No
 36 months,OWN,C,major_purchase,13.56%,AL,Late (31-120 days),Individual,4000,n/a,14256,0,0,0%,0,6,0,null, 36 ,,0,43.76206961077844,0,yes
 60 months,MORTGAGE,C,debt_consolidation,13.56%,MD,Current,Individual,18000,10+ years,75000,26.18,0,73.20%,26787,28,0,null, 60 ,10,73,43.76206961077844,26.18,No
 36 months,RENT,A,house,8.19%,TX,Current,Individual,5000,4 years,130000,17.47,0,52.60%,22213,27,0,null, 36 ,4,52,43.76206961077844,17.47,No
 60 months,RENT,C,debt_consolidation,15.02%,CA,Current,Joint App,40000,2 years,102000,4.53,0,55.90%,15553,6,0,5.75, 60 ,2,55,43.76206961077844,4.53,No
 60 months,OWN,B,debt_consolidation,12.98%,GA,Current,Individual,25000,10+ years,72000,17.1,0,51.30%,22024,14,0,null, 60 ,10,51,43.76206961077844,17.1,No
 36 months,RENT,A,debt_consolidation,8.46%,CA,Current,Individual,10000,3 years,55000,19.27,0,47.10%,13619,17,0,null, 36 ,3,47,43.76206961077844,19.27,No
 60 months,MORTGAGE,B,debt_consolidation,11.31%,CA,Current,Joint App,40000,10+ years,190000,9.66,0,27%,137356,46,0,12.71, 60 ,10,27,43.76206961077844,9.66,No
 36 months,RENT,C,vacation,16.91%,IL,Current,Individual,1500,< 1 year,43000,4.02,0,5.40%,1203,11,0,null, 36 ,1,5,43.76206961077844,4.02,No
 36 months,RENT,A,debt_consolidation,8.19%,TX,Current,Individual,5000,< 1 year,50000,6.53,0,38.90%,13317,17,0,null, 36 ,1,38,43.76206961077844,6.53,No
 60 months,MORTGAGE,E,debt_consolidation,24.37%,NC,Current,Joint App,35000,3 years,29640,25.02,0,94.50%,23162,12,0,13.79, 60 ,3,94,43.76206961077844,25.02,No
 60 months,RENT,D,debt_consolidation,22.35%,IN,Current,Joint App,40000,< 1 year,50000,1.9,2,2.50%,345,14,0,14.38, 60 ,1,2,43.76206961077844,1.9,No
 36 months,OWN,A,credit_card,7.56%,IN,Current,Individual,17000,< 1 year,105000,23.11,0,62.10%,18083,19,0,null, 36 ,1,62,43.76206961077844,23.11,No
 36 months,MORTGAGE,B,other,11.31%,OH,Current,Joint App,1500,n/a,28000,33.82,0,73.30%,12090,21,0,25.99, 36 ,,73,43.76206961077844,33.82,No
 36 months,RENT,D,small_business,17.97%,NJ,Current,Individual,1850,9 years,47000,28.65,0,58.40%,14882,22,0,null, 36 ,9,58,43.76206961077844,28.65,No
 36 months,RENT,C,credit_card,14.47%,CA,Current,Individual,8000,< 1 year,40000,38.7,0,6.40%,3580,19,0,null, 36 ,1,6,43.76206961077844,38.7,No
 60 months,MORTGAGE,C,credit_card,16.14%,NC,Current,Joint App,30000,10+ years,67000,26.26,0,59.10%,10867,19,0,23.08, 60 ,10,59,43.76206961077844,26.26,No
 36 months,RENT,E,major_purchase,27.27%,CO,Current,Individual,1000,7 years,59000,11.84,0,80.80%,3638,8,0,null, 36 ,7,80,43.76206961077844,11.84,No
 36 months,MORTGAGE,C,debt_consolidation,16.91%,SC,Current,Individual,30000,< 1 year,94000,15.61,0,97.30%,23927,8,0,null, 36 ,1,97,43.76206961077844,15.61,No
 60 months,MORTGAGE,C,debt_consolidation,16.14%,CO,Current,Individual,25000,n/a,75000,5.78,0,30.30%,12514,35,0,null, 60 ,,30,43.76206961077844,5.78,No
 60 months,RENT,B,credit_card,10.33%,CO,Current,Individual,11000,3 years,40000,9.03,0,49.60%,11218,20,0,null, 60 ,3,49,43.76206961077844,9.03,No
 36 months,RENT,B,other,12.98%,WV,Current,Joint App,12000,7 years,24000,36.7,0,51.10%,13289,7,0,15.56, 36 ,7,51,43.76206961077844,36.7,No
 36 months,RENT,C,debt_consolidation,14.47%,MI,Current,Individual,6000,6 years,24000,20.7,1,43.50%,6138,12,0,null, 36 ,6,43,43.76206961077844,20.7,No
 36 months,MORTGAGE,C,debt_consolidation,16.14%,MS,Current,Individual,20000,5 years,65000,4.34,0,49.20%,11607,8,0,null, 36 ,5,49,43.76206961077844,4.34,No
 36 months,RENT,B,debt_consolidation,11.80%,CO,Current,Individual,3300,1 year,70000,2.11,0,16.80%,8515,4,0,null, 36 ,1,16,43.76206961077844,2.11,No
 36 months,RENT,A,debt_consolidation,7.56%,MD,Current,Individual,15000,n/a,50000,5.21,0,13.90%,5132,25,0,null, 36 ,,13,43.76206961077844,5.21,No
 36 months,RENT,D,home_improvement,18.94%,NY,Current,Individual,9000,2 years,45000,37.81,0,47.90%,23679,16,0,null, 36 ,2,47,43.76206961077844,37.81,No
 36 months,MORTGAGE,B,debt_consolidation,12.98%,UT,Current,Individual,10000,10+ years,38000,15.19,0,31.50%,6834,14,0,null, 36 ,10,31,43.76206961077844,15.19,No
 36 months,OWN,B,debt_consolidation,11.31%,CA,Current,Individual,4000,10+ years,65000,10.12,0,5.40%,1075,14,0,null, 36 ,10,5,43.76206961077844,10.12,No
 36 months,MORTGAGE,C,debt_consolidation,16.91%,MI,Current,Individual,12000,10+ years,52000,20.61,0,27.40%,8699,14,0,null, 36 ,10,27,43.76206961077844,20.61,No
 36 months,MORTGAGE,C,debt_consolidation,14.47%,MI,Current,Joint App,8000,< 1 year,15000,14.72,0,43.30%,3979,10,0,22.99, 36 ,1,43,43.76206961077844,14.72,No
 36 months,RENT,A,credit_card,8.81%,IL,Current,Individual,10000,10+ years,103161,8.53,0,33.60%,10642,12,0,null, 36 ,10,33,43.76206961077844,8.53,No
 36 months,RENT,A,debt_consolidation,8.81%,MO,Current,Individual,10600,10+ years,62000,17.27,0,39.70%,9717,15,0,null, 36 ,10,39,43.76206961077844,17.27,No
 36 months,RENT,B,debt_consolidation,10.72%,TX,Current,Individual,6000,3 years,48000,8.4,1,57.60%,5010,19,0,null, 36 ,3,57,43.76206961077844,8.4,No
 36 months,RENT,C,credit_card,13.56%,PA,Current,Individual,8000,< 1 year,60000,15.74,0,28.80%,1237,14,0,null, 36 ,1,28,43.76206961077844,15.74,No
 36 months,RENT,A,debt_consolidation,8.19%,MA,Fully Paid,Individual,26525,4 years,189000,17.41,0,23.90%,29008,33,0,null, 36 ,4,23,43.76206961077844,17.41,No
 60 months,MORTGAGE,C,debt_consolidation,16.91%,NE,Current,Individual,20000,8 years,52000,35.47,0,8.20%,3017,28,0,null, 60 ,8,8,43.76206961077844,35.47,No
 60 months,RENT,A,debt_consolidation,8.19%,CA,Current,Individual,17000,< 1 year,30000,14.8,0,28.60%,13866,26,0,null, 60 ,1,28,43.76206961077844,14.8,No
 36 months,RENT,C,major_purchase,14.47%,AR,Fully Paid,Joint App,16000,8 years,49000,15.23,0,57.10%,1771,6,0,7.89, 36 ,8,57,43.76206961077844,15.23,No
 60 months,MORTGAGE,A,debt_consolidation,8.19%,CA,Current,Individual,10000,10+ years,62000,6.39,0,12.80%,9990,18,0,null, 60 ,10,12,43.76206961077844,6.39,No
 36 months,MORTGAGE,C,debt_consolidation,16.14%,IN,Current,Individual,9775,10+ years,99000,39.32,0,28.90%,13553,37,0,null, 36 ,10,28,43.76206961077844,39.32,No
 36 months,RENT,C,credit_card,15.02%,NY,Current,Individual,7000,10+ years,120000,17.29,1,67.20%,14244,27,1,null, 36 ,10,67,43.76206961077844,17.29,No
 36 months,RENT,C,debt_consolidation,16.14%,AZ,Current,Individual,14000,2 years,60000,19.66,1,61.60%,7759,11,1,null, 36 ,2,61,43.76206961077844,19.66,No
 60 months,RENT,A,debt_consolidation,8.19%,CT,Current,Individual,16000,10+ years,75000,17.84,0,66.30%,18505,23,0,null, 60 ,10,66,43.76206961077844,17.84,No
 36 months,RENT,C,debt_consolidation,13.56%,NV,Current,Individual,18000,9 years,145000,10.91,0,54%,10100,35,0,null, 36 ,9,54,43.76206961077844,10.91,No
 36 months,RENT,C,debt_consolidation,16.14%,CA,Current,Individual,10000,3 years,35000,27.81,0,23.90%,8969,14,0,null, 36 ,3,23,43.76206961077844,27.81,No
 36 months,RENT,B,credit_card,10.72%,TX,Current,Individual,16000,< 1 year,105000,22.15,1,44.90%,21035,24,0,null, 36 ,1,44,43.76206961077844,22.15,No
 60 months,MORTGAGE,B,credit_card,12.98%,NV,Current,Individual,18000,10+ years,125000,30.6,0,19.10%,26433,46,0,null, 60 ,10,19,43.76206961077844,30.6,No
 60 months,MORTGAGE,C,debt_consolidation,15.02%,VA,Current,Individual,40000,10+ years,89000,25.67,0,63.50%,41040,40,0,null, 60 ,10,63,43.76206961077844,25.67,No
 36 months,RENT,A,debt_consolidation,6.46%,CA,Current,Individual,3000,1 year,35000,20.54,0,34.50%,3175,12,0,null, 36 ,1,34,43.76206961077844,20.54,No
 36 months,MORTGAGE,A,major_purchase,7.56%,CA,Current,Individual,25000,10+ years,125000,19.93,0,23.10%,13375,39,0,null, 36 ,10,23,43.76206961077844,19.93,No
 36 months,MORTGAGE,A,credit_card,7.02%,TX,Current,Individual,20000,4 years,80000,24.17,0,54.10%,19160,20,0,null, 36 ,4,54,43.76206961077844,24.17,No
 36 months,MORTGAGE,E,credit_card,25.34%,OH,Fully Paid,Joint App,1200,10+ years,145000,12.01,0,60.90%,24780,52,0,12.6, 36 ,10,60,43.76206961077844,12.01,No
 36 months,MORTGAGE,B,credit_card,10.72%,ID,Current,Joint App,16800,10+ years,56000,16.55,0,93.30%,4665,24,0,14.53, 36 ,10,93,43.76206961077844,16.55,No
 60 months,MORTGAGE,E,debt_consolidation,27.27%,PA,Current,Individual,14075,6 years,29120,29.84,0,38.40%,5263,24,0,null, 60 ,6,38,43.76206961077844,29.84,No
 36 months,OWN,A,debt_consolidation,8.19%,CA,Current,Individual,40000,8 years,150000,11.01,0,54.40%,22730,8,0,null, 36 ,8,54,43.76206961077844,11.01,No
 36 months,MORTGAGE,D,other,19.92%,PA,Current,Individual,3000,10+ years,80000,14.93,3,null,0,15,0,null, 36 ,10,43.76206961077844,43.76206961077844,14.93,No
 36 months,MORTGAGE,B,debt_consolidation,12.98%,TX,Current,Individual,30000,7 years,100000,16.34,0,75.70%,21035,22,0,null, 36 ,7,75,43.76206961077844,16.34,No
 60 months,MORTGAGE,F,debt_consolidation,28.72%,IN,Fully Paid,Individual,12000,7 years,184000,12.84,0,82.20%,28846,29,0,null, 60 ,7,82,43.76206961077844,12.84,No
 36 months,OWN,B,credit_card,10.72%,NJ,Current,Individual,16000,1 year,37000,25.49,0,89.60%,10121,6,0,null, 36 ,1,89,43.76206961077844,25.49,No
 36 months,OWN,B,debt_consolidation,10.33%,CT,Late (16-30 days),Individual,15000,n/a,22000,6.6,0,11.70%,7371,33,0,null, 36 ,,11,43.76206961077844,6.6,yes
 36 months,RENT,A,debt_consolidation,6.46%,FL,Current,Individual,10000,2 years,48000,7.63,0,29.70%,11165,14,0,null, 36 ,2,29,43.76206961077844,7.63,No
 36 months,MORTGAGE,C,other,16.91%,NH,Fully Paid,Individual,2100,7 years,65300,16.96,0,65.10%,7746,16,0,null, 36 ,7,65,43.76206961077844,16.96,No
 60 months,RENT,D,debt_consolidation,20.89%,NY,Current,Individual,12000,3 years,30000,11.68,0,57.90%,7063,9,0,null, 60 ,3,57,43.76206961077844,11.68,No
 36 months,MORTGAGE,D,credit_card,17.97%,VT,Current,Individual,10000,4 years,54407,33.18,0,9%,8936,53,0,null, 36 ,4,9,43.76206961077844,33.18,No
 60 months,RENT,C,debt_consolidation,14.47%,FL,Current,Individual,10000,n/a,42000,16.94,0,39.80%,9029,19,0,null, 60 ,,39,43.76206961077844,16.94,No
 36 months,RENT,A,debt_consolidation,7.56%,OH,Current,Individual,10000,4 years,65000,27.75,1,18.60%,7631,30,1,null, 36 ,4,18,43.76206961077844,27.75,No
 36 months,MORTGAGE,B,debt_consolidation,11.80%,PA,Current,Individual,38400,10+ years,70000,30.5,0,15.10%,12902,39,0,null, 36 ,10,15,43.76206961077844,30.5,No
 36 months,MORTGAGE,A,debt_consolidation,6.46%,TX,Current,Individual,40000,2 years,110000,9.57,0,91.40%,24766,20,0,null, 36 ,2,91,43.76206961077844,9.57,No
 36 months,MORTGAGE,B,debt_consolidation,10.33%,GA,Current,Joint App,16000,6 years,67000,24.09,0,60.80%,15127,22,0,22.41, 36 ,6,60,43.76206961077844,24.09,No
 36 months,MORTGAGE,B,debt_consolidation,11.31%,NJ,Current,Individual,12000,< 1 year,51100,5.61,0,34.40%,4472,12,0,null, 36 ,1,34,43.76206961077844,5.61,No
 36 months,MORTGAGE,A,credit_card,8.81%,FL,Fully Paid,Individual,4050,10+ years,56000,16.57,0,19%,3756,15,0,null, 36 ,10,19,43.76206961077844,16.57,No
 36 months,RENT,C,major_purchase,13.56%,AZ,Current,Joint App,19650,3 years,33000,51.93,1,1%,433,18,0,32.23, 36 ,3,1,43.76206961077844,51.93,No
 36 months,MORTGAGE,C,major_purchase,14.47%,MD,Current,Individual,35000,7 years,109539,11.88,0,46.50%,20119,22,0,null, 36 ,7,46,43.76206961077844,11.88,No
 36 months,MORTGAGE,A,debt_consolidation,8.81%,TX,Current,Individual,40000,4 years,85000,12.69,0,64.10%,16782,21,0,null, 36 ,4,64,43.76206961077844,12.69,No
 36 months,RENT,A,debt_consolidation,8.19%,MN,Current,Individual,2000,< 1 year,65000,15.16,0,35.20%,14002,22,0,null, 36 ,1,35,43.76206961077844,15.16,No
 36 months,RENT,D,debt_consolidation,18.94%,VA,Current,Individual,13800,10+ years,220000,11.13,1,73.60%,14639,14,1,null, 36 ,10,73,43.76206961077844,11.13,No
 36 months,RENT,D,credit_card,19.92%,TX,Current,Individual,30000,1 year,68000,33.52,0,16%,2486,28,0,null, 36 ,1,16,43.76206961077844,33.52,No
 36 months,RENT,A,credit_card,7.56%,MI,Current,Individual,4000,8 years,56000,5.23,0,12.20%,4880,25,0,null, 36 ,8,12,43.76206961077844,5.23,No
 36 months,OWN,C,credit_card,16.91%,FL,Current,Joint App,7200,5 years,56000,39.95,1,72.70%,5816,26,0,35.31, 36 ,5,72,43.76206961077844,39.95,No
 36 months,MORTGAGE,B,credit_card,10.33%,NJ,Current,Individual,10000,< 1 year,250000,8.16,0,45.90%,19564,40,0,null, 36 ,1,45,43.76206961077844,8.16,No
 36 months,MORTGAGE,B,credit_card,11.31%,IL,Current,Individual,7500,n/a,24000,8.6,0,10.60%,4450,15,0,null, 36 ,,10,43.76206961077844,8.6,No
 36 months,OWN,C,debt_consolidation,16.91%,CA,Current,Individual,8000,10+ years,49000,33.48,0,95%,30775,22,0,null, 36 ,10,95,43.76206961077844,33.48,No
 36 months,RENT,B,debt_consolidation,10.33%,FL,Current,Individual,5000,10+ years,155000,10.18,0,70.40%,29550,27,0,null, 36 ,10,70,43.76206961077844,10.18,No
 36 months,RENT,A,debt_consolidation,8.81%,MO,Current,Individual,6500,1 year,40000,35.58,0,11.30%,6825,30,0,null, 36 ,1,11,43.76206961077844,35.58,No
 36 months,RENT,D,credit_card,18.94%,IL,Current,Individual,12800,n/a,24000,12.1,0,62.20%,7959,7,0,null, 36 ,,62,43.76206961077844,12.1,No
 36 months,MORTGAGE,E,other,25.34%,MI,Current,Individual,1200,9 years,105000,26.57,0,72.80%,46224,37,0,null, 36 ,9,72,43.76206961077844,26.57,No
 36 months,RENT,B,debt_consolidation,11.31%,AZ,Current,Individual,7000,1 year,112896,8.88,0,66.40%,9499,8,0,null, 36 ,1,66,43.76206961077844,8.88,No
 36 months,RENT,A,debt_consolidation,6.46%,CA,Current,Individual,10000,10+ years,130000,19.81,0,51.70%,26236,42,0,null, 36 ,10,51,43.76206961077844,19.81,No
 36 months,MORTGAGE,E,debt_consolidation,26.31%,MO,Late (31-120 days),Joint App,35000,10+ years,104000,44.9,1,62.90%,28824,42,0,38.17, 36 ,10,62,43.76206961077844,44.9,yes
 36 months,RENT,B,debt_consolidation,10.72%,CA,Current,Individual,15000,1 year,120000,15.98,0,92%,28226,9,0,null, 36 ,1,92,43.76206961077844,15.98,No
 36 months,RENT,E,debt_consolidation,23.40%,MI,Current,Individual,5500,10+ years,48000,22.28,0,46.10%,5394,21,0,null, 36 ,10,46,43.76206961077844,22.28,No
 36 months,MORTGAGE,A,home_improvement,8.81%,KY,Current,Individual,5000,< 1 year,136800,4.54,0,9.80%,2943,24,0,null, 36 ,1,9,43.76206961077844,4.54,No
 36 months,RENT,B,credit_card,10.47%,TX,Current,Individual,7000,6 years,38000,28.67,1,21.80%,12526,37,0,null, 36 ,6,21,43.76206961077844,28.67,No
 36 months,MORTGAGE,B,debt_consolidation,11.80%,VA,Current,Joint App,30000,< 1 year,60000,21.76,1,0%,0,16,0,10.81, 36 ,1,0,43.76206961077844,21.76,No
 36 months,RENT,C,other,16.91%,TX,Current,Joint App,5000,10+ years,30000,43.2,0,65.60%,14700,27,0,26.25, 36 ,10,65,43.76206961077844,43.2,No
 60 months,MORTGAGE,A,credit_card,8.81%,KY,Current,Individual,20000,3 years,125000,16.81,0,20.90%,35528,100,0,null, 60 ,3,20,43.76206961077844,16.81,No
 60 months,MORTGAGE,B,credit_card,10.72%,CA,Current,Individual,40000,10+ years,120000,24.75,0,44.10%,45917,36,0,null, 60 ,10,44,43.76206961077844,24.75,No
 60 months,MORTGAGE,D,credit_card,18.94%,WI,Current,Joint App,28300,10+ years,110000,38.36,0,80.30%,87353,35,0,21.81, 60 ,10,80,43.76206961077844,38.36,No
 36 months,MORTGAGE,A,debt_consolidation,6.46%,NJ,Current,Individual,10000,10+ years,70000,7.85,0,63.50%,8958,16,0,null, 36 ,10,63,43.76206961077844,7.85,No
 36 months,RENT,A,debt_consolidation,8.81%,OH,Current,Individual,8500,2 years,51500,27.24,0,31.30%,16356,37,0,null, 36 ,2,31,43.76206961077844,27.24,No
 60 months,MORTGAGE,B,credit_card,10.72%,NY,Current,Individual,20000,10+ years,110000,15.11,0,37.20%,23957,29,0,null, 60 ,10,37,43.76206961077844,15.11,No
 60 months,RENT,D,debt_consolidation,20.89%,CA,Current,Individual,20000,< 1 year,80460,10.92,0,53.10%,9395,9,0,null, 60 ,1,53,43.76206961077844,10.92,No
 36 months,RENT,A,credit_card,7.56%,TX,Current,Individual,5000,7 years,112000,7.88,0,16.40%,3751,23,0,null, 36 ,7,16,43.76206961077844,7.88,No
 60 months,MORTGAGE,D,major_purchase,19.92%,MA,Current,Individual,28700,n/a,85000,9.21,1,21.60%,1943,19,0,null, 60 ,,21,43.76206961077844,9.21,No
 36 months,RENT,B,credit_card,12.98%,VA,Current,Individual,5000,5 years,65000,18.67,0,49.80%,10660,17,0,null, 36 ,5,49,43.76206961077844,18.67,No
 36 months,MORTGAGE,A,credit_card,7.56%,IL,Current,Individual,40000,2 years,310000,9.82,0,19.80%,98209,54,0,null, 36 ,2,19,43.76206961077844,9.82,No
 36 months,MORTGAGE,D,debt_consolidation,18.94%,GA,Current,Individual,10000,3 years,110000,21.3,0,87.20%,19625,66,0,null, 36 ,3,87,43.76206961077844,21.3,No
 60 months,MORTGAGE,D,debt_consolidation,22.35%,AR,Current,Individual,10000,4 years,36000,4.9,0,52%,4055,4,0,null, 60 ,4,52,43.76206961077844,4.9,No
 36 months,RENT,A,debt_consolidation,7.56%,IL,Current,Individual,30000,n/a,60000,10.86,0,78.20%,24307,9,0,null, 36 ,,78,43.76206961077844,10.86,No
 36 months,RENT,A,debt_consolidation,6.46%,TX,Current,Individual,20000,4 years,120000,6.21,0,9.20%,2215,6,0,null, 36 ,4,9,43.76206961077844,6.21,No
 60 months,OWN,B,credit_card,10.33%,CA,Current,Individual,24000,1 year,86000,27.63,0,8.60%,9070,52,0,null, 60 ,1,8,43.76206961077844,27.63,No
 36 months,MORTGAGE,B,debt_consolidation,11.80%,NJ,Current,Individual,24000,6 years,98000,18.07,1,68.70%,29688,41,0,null, 36 ,6,68,43.76206961077844,18.07,No
 36 months,MORTGAGE,C,debt_consolidation,16.91%,TN,Current,Individual,10000,10+ years,51000,22.87,2,96%,18147,16,0,null, 36 ,10,96,43.76206961077844,22.87,No
 36 months,RENT,C,debt_consolidation,14.47%,CA,Current,Individual,10000,< 1 year,90000,16.55,1,51%,13158,23,0,null, 36 ,1,51,43.76206961077844,16.55,No
 60 months,MORTGAGE,D,debt_consolidation,17.97%,KS,Current,Individual,15000,10+ years,70000,23.04,0,57.90%,3645,12,0,null, 60 ,10,57,43.76206961077844,23.04,No
 60 months,RENT,F,debt_consolidation,28.72%,NM,Current,Individual,21150,1 year,47000,34.96,0,95%,23386,30,0,null, 60 ,1,95,43.76206961077844,34.96,No
 60 months,RENT,B,debt_consolidation,11.80%,FL,Current,Individual,27000,3 years,85000,31.26,0,45.20%,21853,24,0,null, 60 ,3,45,43.76206961077844,31.26,No
 36 months,RENT,B,debt_consolidation,12.73%,MI,Current,Individual,30000,10+ years,65000,11.3,1,26%,5191,22,0,null, 36 ,10,26,43.76206961077844,11.3,No
 60 months,MORTGAGE,B,debt_consolidation,12.98%,PA,Current,Individual,26000,10+ years,60000,13.94,0,52%,21313,25,0,null, 60 ,10,52,43.76206961077844,13.94,No
 36 months,MORTGAGE,A,debt_consolidation,6.46%,FL,Current,Joint App,15000,n/a,10000,107.8,0,43.40%,13488,39,0,17.17, 36 ,,43,43.76206961077844,107.8,No
 60 months,MORTGAGE,D,debt_consolidation,18.94%,IN,Current,Individual,24000,2 years,124000,24.22,0,52.70%,20224,14,0,null, 60 ,2,52,43.76206961077844,24.22,No
 36 months,MORTGAGE,A,credit_card,6.46%,CA,Current,Individual,9000,10+ years,54000,13.87,0,22.10%,10666,17,0,null, 36 ,10,22,43.76206961077844,13.87,No
 60 months,RENT,D,debt_consolidation,19.92%,CA,Current,Individual,12000,4 years,90000,13.95,0,65.80%,14337,13,0,null, 60 ,4,65,43.76206961077844,13.95,No
 36 months,MORTGAGE,A,other,8.81%,CA,Current,Individual,35000,< 1 year,216000,21.51,0,43.60%,73596,45,0,null, 36 ,1,43,43.76206961077844,21.51,No
 36 months,MORTGAGE,C,other,16.14%,NJ,Current,Individual,7500,n/a,84000,4.04,0,5.10%,172,4,0,null, 36 ,,5,43.76206961077844,4.04,No
 36 months,MORTGAGE,A,debt_consolidation,6.46%,NY,Current,Individual,40000,1 year,150000,13.07,0,46.50%,35664,37,0,null, 36 ,1,46,43.76206961077844,13.07,No
 60 months,RENT,B,debt_consolidation,12.98%,MA,Current,Individual,37000,< 1 year,215000,7.89,0,12.10%,4464,31,0,null, 60 ,1,12,43.76206961077844,7.89,No
 36 months,MORTGAGE,B,debt_consolidation,10.33%,TX,Current,Individual,40000,< 1 year,240000,10.59,1,68.80%,57894,22,0,null, 36 ,1,68,43.76206961077844,10.59,No
 60 months,MORTGAGE,C,debt_consolidation,15.02%,GA,Current,Individual,24000,< 1 year,137000,22.91,1,81%,49351,29,0,null, 60 ,1,81,43.76206961077844,22.91,No
 60 months,RENT,E,debt_consolidation,26.31%,CA,Fully Paid,Individual,10000,n/a,38052,9.08,0,67.40%,1213,9,0,null, 60 ,,67,43.76206961077844,9.08,No
 36 months,RENT,C,debt_consolidation,13.56%,KS,Current,Individual,5000,10+ years,55000,26.12,0,49.70%,6854,21,0,null, 36 ,10,49,43.76206961077844,26.12,No
 36 months,MORTGAGE,A,debt_consolidation,7.02%,IL,Current,Individual,20000,5 years,52000,27.99,0,44%,13464,44,0,null, 36 ,5,44,43.76206961077844,27.99,No
 60 months,MORTGAGE,A,debt_consolidation,8.19%,OH,Current,Joint App,25000,10+ years,80000,30.09,0,34.40%,22333,32,0,29.48, 60 ,10,34,43.76206961077844,30.09,No
 36 months,OWN,C,car,16.14%,IN,Current,Individual,4500,4 years,65000,19.77,0,55.50%,27824,28,0,null, 36 ,4,55,43.76206961077844,19.77,No
 60 months,MORTGAGE,B,credit_card,10.33%,OH,Current,Individual,14000,10+ years,59000,18.53,0,33%,14239,31,0,null, 60 ,10,33,43.76206961077844,18.53,No
 36 months,MORTGAGE,D,credit_card,20.89%,NJ,Current,Individual,25000,10+ years,150000,27.48,1,49.40%,181348,27,0,null, 36 ,10,49,43.76206961077844,27.48,No
 36 months,MORTGAGE,D,debt_consolidation,17.97%,MI,Current,Individual,10000,10+ years,68000,13.38,1,82.50%,9492,37,1,null, 36 ,10,82,43.76206961077844,13.38,No
 36 months,OWN,D,debt_consolidation,17.97%,ID,Current,Individual,15000,n/a,42000,28.94,0,56.20%,11530,21,0,null, 36 ,,56,43.76206961077844,28.94,No
 36 months,MORTGAGE,A,debt_consolidation,7.56%,GA,Current,Individual,12000,10+ years,80000,32.97,0,7.80%,6477,45,0,null, 36 ,10,7,43.76206961077844,32.97,No
 36 months,MORTGAGE,B,debt_consolidation,10.72%,NJ,Current,Individual,5000,3 years,75000,8.58,0,23.50%,10052,27,0,null, 36 ,3,23,43.76206961077844,8.58,No
 36 months,MORTGAGE,B,major_purchase,11.31%,PA,Current,Individual,20000,4 years,90000,22.51,1,25.70%,6098,27,0,null, 36 ,4,25,43.76206961077844,22.51,No
 60 months,MORTGAGE,B,other,10.72%,UT,Current,Individual,10000,10+ years,82000,11.82,0,33%,15511,25,0,null, 60 ,10,33,43.76206961077844,11.82,No
